Category,Name,Price,Image URL,Link
Chairs,,199,https://www.ikea.com/us/en/images/products/haegernaes-table-and-4-chairs-antique-stain-pine__1350925_pe951817_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/haegernaes-table-and-4-chairs-antique-stain-pine-70575947/
Chairs,,299,https://www.ikea.com/us/en/images/products/tonstad-sideboard-off-white__1335580_pe947096_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/tonstad-sideboard-off-white-00510006/
Chairs,,40,https://www.ikea.com/us/en/images/products/hauga-chair-white__1336852_pe947477_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/hauga-chair-white-10576718/
Chairs,,160,https://www.ikea.com/us/en/images/products/tossberg-chair-metal-black-gunnared-dark-gray__1360003_pe954328_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/tossberg-chair-metal-black-gunnared-dark-gray-80582645/
Chairs,,460,https://www.ikea.com/us/en/images/products/besta-storage-combination-with-doors-white-hammarsmed-stubbarp-anthracite__1335951_pe947237_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/besta-storage-combination-with-doors-white-hammarsmed-stubbarp-anthracite-s29569341/
Tables,,90,https://www.ikea.com/us/en/images/products/alex-drawer-unit-white__0977775_pe813763_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/alex-drawer-unit-white-00473546/
Tables,,219,https://www.ikea.com/us/en/images/products/lagkapten-alex-desk-white__1022432_pe832720_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/lagkapten-alex-desk-white-s99431982/
Tables,,89,https://www.ikea.com/us/en/images/products/micke-desk-white__0736018_pe740345_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/micke-desk-white-80213074/
Tables,,110,https://www.ikea.com/us/en/images/products/alex-drawer-unit-black-brown__0977786_pe813770_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/alex-drawer-unit-black-brown-60473548/
Tables,,129,https://www.ikea.com/us/en/images/products/malm-dressing-table-white__1400013_pe968487_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/malm-dressing-table-white-10203610/
Tables,,39,https://www.ikea.com/us/en/images/products/lagkapten-tabletop-white__0977800_pe813782_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/lagkapten-tabletop-white-40460815/
Tables,,89,https://www.ikea.com/us/en/images/products/micke-desk-white__0736020_pe740347_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/micke-desk-white-90214308/
Tables,,257,https://www.ikea.com/us/en/images/products/lagkapten-alex-desk-white__0976159_pe813052_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/lagkapten-alex-desk-white-s59417619/
Tables,,59,https://www.ikea.com/us/en/images/products/micke-desk-white__0736022_pe740349_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/micke-desk-white-30213076/
Tables,,110,https://www.ikea.com/us/en/images/products/alex-drawer-unit-gray-turquoise__0977774_pe813762_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/alex-drawer-unit-gray-turquoise-30483799/
Tables,,134,https://www.ikea.com/us/en/images/products/lagkapten-alex-desk-white__0977483_pe813612_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/lagkapten-alex-desk-white-s69416817/
Tables,,599,https://www.ikea.com/us/en/images/products/mittzon-focus-workstation-beige-white__1294813_pe935539_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/mittzon-focus-workstation-beige-white-70528183/
Beds,,399,https://www.ikea.com/us/en/images/products/tornviken-kitchen-island-off-white-oak__0736817_pe740760_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/tornviken-kitchen-island-off-white-oak-40391657/
Beds,,9,https://www.ikea.com/us/en/images/products/vesken-cart-white__0832009_pe777548_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/vesken-cart-white-00471222/
Beds,,499,https://www.ikea.com/us/en/images/products/vadholma-kitchen-island-black-oak__0736820_pe740762_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/vadholma-kitchen-island-black-oak-20359154/
Beds,,29,https://www.ikea.com/us/en/images/products/nissafors-utility-cart-black__0672522_pe716744_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/nissafors-utility-cart-black-20399777/
Beds,,27,https://www.ikea.com/us/en/images/products/raskog-utility-cart-white__1366921_pe957210_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/raskog-utility-cart-white-00586789/
Beds,,399,https://www.ikea.com/us/en/images/products/tornviken-kitchen-island-gray-oak__0736816_pe740759_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/tornviken-kitchen-island-gray-oak-80393372/
Beds,,699,https://www.ikea.com/us/en/images/products/rimforsa-work-bench-stainless-steel-bamboo__0660541_pe711112_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/rimforsa-work-bench-stainless-steel-bamboo-60399412/
Beds,,239,https://www.ikea.com/us/en/images/products/resaroe-mobile-drop-leaf-table-w-storage-pine__1323608_pe942782_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/resaroe-mobile-drop-leaf-table-w-storage-pine-20533337/
Beds,,149,https://www.ikea.com/us/en/images/products/bror-utility-cart-black-pine-plywood__0636685_pe697973_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/bror-utility-cart-black-pine-plywood-60333850/
Beds,,39,https://www.ikea.com/us/en/images/products/raskog-utility-cart-white__1366882_pe957173_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/raskog-utility-cart-white-30586783/
Beds,,599,https://www.ikea.com/us/en/images/products/vadholma-kitchen-island-with-rack-black-oak__0605057_pe681596_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/vadholma-kitchen-island-with-rack-black-oak-s59276228/
Beds,,149,https://www.ikea.com/us/en/images/products/foerhoeja-kitchen-cart-birch__0736865_pe740780_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/foerhoeja-kitchen-cart-birch-80035920/
Storage,,199,https://www.ikea.com/us/en/images/products/dyvlinge-swivel-chair-kelinge-green__1205904_pe907276_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/dyvlinge-swivel-chair-kelinge-green-30570838/
Storage,,199,https://www.ikea.com/us/en/images/products/dyvlinge-swivel-chair-kelinge-black__1205899_pe907271_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/dyvlinge-swivel-chair-kelinge-black-80570831/
