Region,Category,Name,Price,Image URL,Link
USA,Chairs,,199,https://www.ikea.com/us/en/images/products/haegernaes-table-and-4-chairs-antique-stain-pine__1350925_pe951817_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/haegernaes-table-and-4-chairs-antique-stain-pine-70575947/
USA,Chairs,,299,https://www.ikea.com/us/en/images/products/tonstad-sideboard-off-white__1335580_pe947096_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/tonstad-sideboard-off-white-00510006/
USA,Chairs,,40,https://www.ikea.com/us/en/images/products/hauga-chair-white__1336852_pe947477_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/hauga-chair-white-10576718/
USA,Chairs,,160,https://www.ikea.com/us/en/images/products/tossberg-chair-metal-black-gunnared-dark-gray__1360003_pe954328_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/tossberg-chair-metal-black-gunnared-dark-gray-80582645/
USA,Chairs,,460,https://www.ikea.com/us/en/images/products/besta-storage-combination-with-doors-white-hammarsmed-stubbarp-anthracite__1335951_pe947237_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/besta-storage-combination-with-doors-white-hammarsmed-stubbarp-anthracite-s29569341/
USA,Chairs,,79,https://www.ikea.com/us/en/images/products/kallax-shelf-unit-white__0644757_pe702939_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/
USA,Chairs,,19,https://www.ikea.com/us/en/images/products/antilop-high-chair-with-tray-white-silver-color__0727481_pe735706_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/antilop-high-chair-with-tray-white-silver-color-s89228434/
USA,Chairs,,79,https://www.ikea.com/us/en/images/products/kallax-shelf-unit-black-brown__0644754_pe702938_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/kallax-shelf-unit-black-brown-20275885/
USA,Chairs,,79,https://www.ikea.com/us/en/images/products/kallax-shelf-unit-white-stained-oak-effect__0459250_pe606049_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-stained-oak-effect-00324518/
USA,Chairs,,129,https://www.ikea.com/us/en/images/products/kallax-shelf-unit-with-4-inserts-white__0754627_pe747994_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/kallax-shelf-unit-with-4-inserts-white-s59278307/
USA,Chairs,,49,https://www.ikea.com/us/en/images/products/holmerud-side-table-oak-effect__1193662_pe901564_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/holmerud-side-table-oak-effect-40541421/
USA,Chairs,,325,https://www.ikea.com/us/en/images/products/besta-storage-combination-with-doors-white-stained-oak-effect-lappviken-stubbarp-white-stained-oak-effect__0415037_pe574376_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/besta-storage-combination-with-doors-white-stained-oak-effect-lappviken-stubbarp-white-stained-oak-effect-s49139722/
USA,Chairs,,89,https://www.ikea.com/us/en/images/products/kallax-shelf-unit-high-gloss-white__0627096_pe693189_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/kallax-shelf-unit-high-gloss-white-10305741/
USA,Chairs,,99,https://www.ikea.com/us/en/images/products/smastad-bench-with-toy-storage-white-white__0918197_pe786134_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/smastad-bench-with-toy-storage-white-white-s19389152/
USA,Chairs,,89,https://www.ikea.com/us/en/images/products/flisat-childrens-table__0735831_pe740206_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/flisat-childrens-table-50298418/
USA,Chairs,,129,https://www.ikea.com/us/en/images/products/kallax-shelf-unit-with-4-inserts-white-stained-oak-effect__0480295_pe618865_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/kallax-shelf-unit-with-4-inserts-white-stained-oak-effect-s29197572/
USA,Chairs,,199,https://www.ikea.com/us/en/images/products/haegernaes-table-and-4-chairs-antique-stain-pine__1350925_pe951817_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/haegernaes-table-and-4-chairs-antique-stain-pine-70575947/
USA,Tables,,90,https://www.ikea.com/us/en/images/products/alex-drawer-unit-white__0977775_pe813763_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/alex-drawer-unit-white-00473546/
USA,Tables,,219,https://www.ikea.com/us/en/images/products/lagkapten-alex-desk-white__1022432_pe832720_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/lagkapten-alex-desk-white-s99431982/
USA,Tables,,89,https://www.ikea.com/us/en/images/products/micke-desk-white__0736018_pe740345_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/micke-desk-white-80213074/
USA,Tables,,110,https://www.ikea.com/us/en/images/products/alex-drawer-unit-black-brown__0977786_pe813770_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/alex-drawer-unit-black-brown-60473548/
USA,Tables,,129,https://www.ikea.com/us/en/images/products/malm-dressing-table-white__1400013_pe968487_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/malm-dressing-table-white-10203610/
USA,Tables,,39,https://www.ikea.com/us/en/images/products/lagkapten-tabletop-white__0977800_pe813782_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/lagkapten-tabletop-white-40460815/
USA,Tables,,89,https://www.ikea.com/us/en/images/products/micke-desk-white__0736020_pe740347_s5.jpg?f=xxs,https://www.ikea.com/us/en/p/micke-desk-white-90214308/
