Website,Title,Price,Image URL,Product Link
IKEA Saudi Arabia,N/A,649,https://www.ikea.com/sa/en/images/products/glostad-2-seat-sofa-knisa-dark-grey__0950864_pe800736_s5.jpg?f=xxs,N/A
IKEA Saudi Arabia,N/A,"1,595",https://www.ikea.com/sa/en/images/products/aelvdalen-3-seat-sofa-bed-knisa-grey-beige__1194633_pe902030_s5.jpg?f=xxs,N/A
IKEA Saudi Arabia,N/A,"2,795",https://www.ikea.com/sa/en/images/products/aepplaryd-2-seat-sofa-gunnared-black-grey__1282691_pe932253_s5.jpg?f=xxs,N/A
IKEA Saudi Arabia,N/A,299,https://www.ikea.com/sa/en/images/products/neiden-bed-frame-pine__0749131_pe745500_s5.jpg?f=xxs,N/A
IKEA Saudi Arabia,N/A,895,https://www.ikea.com/sa/en/images/products/taellasen-upholstered-bed-frame-kulsta-grey-green__1198828_pe904232_s5.jpg?f=xxs,N/A
IKEA Saudi Arabia,N/A,"1,145",https://www.ikea.com/sa/en/images/products/taernkullen-upholstered-bed-frame-tibbleby-beige-grey-luroey__1323491_pe942718_s5.jpg?f=xxs,N/A
IKEA Saudi Arabia,N/A,"2,345",https://www.ikea.com/sa/en/images/products/bjoerksnaes-bed-frame-birch-birch-veneer-luroey__1175828_pe894830_s5.jpg?f=xxs,N/A
IKEA Saudi Arabia,N/A,59,https://www.ikea.com/sa/en/images/products/vuku-wardrobe-white__0498088_pe629449_s5.jpg?f=xxs,N/A
IKEA Saudi Arabia,N/A,799,https://www.ikea.com/sa/en/images/products/brimnes-wardrobe-with-3-doors-white__0176787_pe329567_s5.jpg?f=xxs,N/A
IKEA Saudi Arabia,N/A,"1,795",https://www.ikea.com/sa/en/images/products/glamberget-wardrobe-with-3-sliding-doors-pine-black__1336029_pe947273_s5.jpg?f=xxs,N/A
IKEA Saudi Arabia,N/A,"2,295",https://www.ikea.com/sa/en/images/products/visthus-wardrobe-grey-white__0592302_pe674454_s5.jpg?f=xxs,N/A
